,task_id,total_tasks,combo_index,beta,alpha,rho,strength,kappa,tau,cov_type,monte_carlo_runs,mc_batch_size,mse_runs,mean_mse,std_mse,mean_e_TF,std_e_TF,mean_e_ICL,std_e_ICL,mean_e_IDG,std_e_IDG,mean_diff,std_diff
0,0,16,0,0.0,2.35,0.5,0.0,0.5,2.0,identity,10,1,"[2.5724914241582155, 2.491735903546214, 2.500708218663931, 2.507507085800171, 2.4722314896062016, 2.533639181405306, 2.473635781556368, 2.4410533299669623, 2.52123592607677, 2.5623171515762806]",2.507655549235642,0.038988388003011326,2.5210421800613405,0.018671015223126985,2.5210421800613405,0.018671015223126985,1.4555624842643737,0.011210698756546534,0.0,0.0
1,0,16,1,0.0,2.8628667374724848,0.5,0.0,0.5,2.0,identity,10,1,"[2.5652307756245136, 2.6041793152689934, 2.6114344503730536, 2.563378196209669, 2.5421603973954916, 2.513480646535754, 2.609598584473133, 2.510847829282284, 2.5361676309257746, 2.623524896800518]",2.5680002722889186,0.03994708462971822,2.5638431787490843,0.030855518472982284,2.5638431787490843,0.030855518472982284,1.3986940860748291,0.008564402593445099,0.0,0.0
2,0,16,2,0.0,3.4876621091601483,0.5,0.0,0.5,2.0,identity,10,1,"[2.6280354876071215, 2.5749451089650393, 2.657600002363324, 2.6233953535556793, 2.6531729754060507, 2.6664918325841427, 2.73895116802305, 2.573915680870414, 2.7067378740757704, 2.66232973895967]",2.6485575222410263,0.049208563627548794,2.6327038288116453,0.03007379915680802,2.6327038288116453,0.03007379915680802,1.340593421459198,0.010866883397304643,0.0,0.0
3,0,16,3,0.0,4.248813550577753,0.5,0.0,0.5,2.0,identity,10,1,"[2.664746508002281, 2.698770323768258, 2.7125237584114075, 2.7389470636844635, 2.669571079313755, 2.7880038619041443, 2.7013605758547783, 2.651639500632882, 2.723445510491729, 2.7122288178652525]",2.706123699992895,0.037753762750875094,2.7265234708786013,0.025858686010483394,2.7265234708786013,0.025858686010483394,1.2971638083457946,0.010134568145990883,0.0,0.0
4,0,16,4,0.0,5.176079569221879,0.5,0.0,0.5,2.0,identity,10,1,"[2.788879618048668, 2.9485017862170935, 2.909513544291258, 2.909452510997653, 2.7201438676565886, 2.9606768265366554, 2.863645628094673, 2.877893405035138, 2.9046905506402254, 2.82512560300529]",2.870852334052324,0.0706063593784012,2.865098810195923,0.04441170948709364,2.865098810195923,0.04441170948709364,1.250339114665985,0.012612438095861787,0.0,0.0
5,0,16,5,0.0,6.305713203930309,0.5,0.0,0.5,2.0,identity,10,1,"[3.0107017997652292, 2.9660990089178085, 3.0761002767831087, 2.9897791668772697, 2.9703223947435617, 3.1027463879436255, 2.9754663072526455, 2.9563990253955126, 3.140412973240018, 3.0582004748284817]",3.024622781574726,0.06175786219248205,3.0355404376983643,0.045854982902329866,3.0355404376983643,0.045854982902329866,1.2169702649116516,0.007086136822299008,0.0,0.0
6,0,16,6,0.0,7.68187939896729,0.5,0.0,0.5,2.0,identity,10,1,"[3.267535727471113, 3.2626781072467566, 3.23906615562737, 3.171608967706561, 3.2732401583343744, 3.2720922362059355, 3.4101245179772377, 3.1474406830966473, 3.2190263587981462, 3.162005439400673]",3.2424818351864815,0.07215023684087636,3.2605478048324583,0.03452591370293744,3.2605478048324583,0.03452591370293744,1.1864922881126403,0.006911943490420807,0.0,0.0
7,0,16,7,0.0,9.358381707480246,0.5,0.0,0.5,2.0,identity,10,1,"[3.5878715608268976, 3.422665059566498, 3.440877977758646, 3.4169768039137125, 3.6718095168471336, 3.525060908868909, 3.623951466754079, 3.5456117019057274, 3.6422864757478237, 3.5742700789123774]",3.5451381551101804,0.08778853959656878,3.5411199569702148,0.06144462030846028,3.5411199569702148,0.06144462030846028,1.1577483534812927,0.009818633175238999,0.0,0.0
8,0,16,8,0.0,11.400765832730277,0.5,0.0,0.5,2.0,identity,10,1,"[3.9187864158302546, 3.7868699599057436, 4.1567912101745605, 3.9054992385208607, 3.7906900886446238, 4.101304380223155, 3.88103299587965, 3.751196760684252, 3.864886961877346, 3.9424544740468264]",3.9099512485787273,0.12495703199998362,3.9167351722717285,0.075807769367805,3.9167351722717285,0.075807769367805,1.138917624950409,0.009401076321814937,0.0,0.0
9,0,16,9,0.0,13.888882248611191,0.5,0.0,0.5,2.0,identity,10,1,"[4.412779292091727, 4.292627602815628, 4.298907525837421, 4.197248632088304, 4.435120167210698, 4.362528944388032, 4.119366833940148, 4.393045756965876, 4.379722557961941, 4.458032285794616]",4.334937959909439,0.10291210778673891,4.322243928909302,0.051862452661900905,4.322243928909302,0.051862452661900905,1.1195318102836609,0.007079639307781006,0.0,0.0
10,0,16,10,0.0,16.920008089455763,0.5,0.0,0.5,2.0,identity,10,1,"[5.177049037069082, 4.661211172118783, 4.7361053712666035, 4.841659814119339, 4.838646391406655, 4.824095018208027, 4.686865869909525, 4.97018482349813, 5.03156953305006, 4.663055898621678]",4.8430442929267885,0.16276754031688498,4.845244979858398,0.08633974258318503,4.845244979858398,0.08633974258318503,1.0989187717437745,0.009337624831364284,0.0,0.0
11,0,16,11,0.0,20.612650364709907,0.5,0.0,0.5,2.0,identity,10,1,"[5.516918506473303, 5.751319065690041, 5.680586893111467, 5.600181572139263, 5.488908587023616, 5.727236453443766, 5.268814206123352, 5.6594404093921185, 5.433193761855364, 5.399530332535505]",5.55261297877878,0.1495322690355716,5.476655912399292,0.09513405481555384,5.476655912399292,0.09513405481555384,1.0835523724555969,0.010532189723470553,0.0,0.0
12,0,16,12,0.0,25.111179191607683,0.5,0.0,0.5,2.0,identity,10,1,"[6.063294108957052, 6.480447147041559, 6.260842949151993, 6.535470865666866, 6.541308399289846, 6.184936806559563, 6.363159880042076, 6.05942889302969, 6.252687409520149, 6.324953969568014]",6.306653042882681,0.16772659805958257,6.253320646286011,0.07686431695704118,6.253320646286011,0.07686431695704118,1.0741645336151122,0.00619732200902304,0.0,0.0
13,1,16,13,0.0,30.591472189942476,0.5,0.0,0.5,2.0,identity,10,1,"[7.077327266335487, 7.201955307275057, 7.3752825409173965, 7.061757870018482, 7.62105818092823, 7.05355379357934, 7.385091073811054, 7.267758164554834, 7.012234941124916, 7.278251741081476]",7.233427087962627,0.18239489747620294,7.263144874572754,0.09181767781100962,7.263144874572754,0.09181767781100962,1.064052128791809,0.006878850161037123,0.0,0.0
14,1,16,14,0.0,37.26779071612804,0.5,0.0,0.5,2.0,identity,10,1,"[8.524365622550249, 8.343118160963058, 8.418877106159925, 8.602228254079819, 8.168667640537024, 8.574831195175648, 8.207173429429531, 8.573274701833725, 8.113129872828722, 7.98057846352458]",8.350624444708227,0.21096711119115863,8.33475856781006,0.09947276778752086,8.33475856781006,0.09947276778752086,1.0489672064781188,0.004678664419253999,0.0,0.0
15,1,16,15,0.0,45.401156774591,0.5,0.0,0.5,2.0,identity,10,1,"[10.020554967224598, 9.577645245939493, 9.783330246806145, 9.852883845567703, 9.22204364091158, 9.717913374304771, 9.621983498334885, 9.520018890500069, 9.519304495304823, 9.932112120091915]",9.676779032498597,0.22280513593641435,9.812535572052003,0.1417751637467155,9.812535572052003,0.1417751637467155,1.049643909931183,0.006362853195827432,0.0,0.0
16,1,16,13,0.0,30.591472189942476,0.5,0.0,0.5,2.0,identity,10,1,"[7.51604962348938, 7.152845121920109, 7.266000259667635, 6.980439078062773, 7.556603722274303, 7.111351825296879, 6.813365761190653, 6.735326707363129, 7.26707349717617, 7.358297925442457]",7.175735352188349,0.2605331750025282,7.237816429138183,0.11860038386368763,7.237816429138183,0.11860038386368763,1.0641984939575195,0.01038956012880365,0.0,0.0
17,1,16,14,0.0,37.26779071612804,0.5,0.0,0.5,2.0,identity,10,1,"[7.85972461476922, 8.382355652749538, 8.423702362924814, 8.444051265716553, 8.34648771956563, 8.232991002500057, 8.408745676279068, 8.28557875007391, 8.439807169139385, 8.181653209030628]",8.30050974227488,0.16997418262973607,8.3603759765625,0.08969644403087045,8.3603759765625,0.08969644403087045,1.0520932078361511,0.0029903318621391233,0.0,0.0
18,1,16,15,0.0,45.401156774591,0.5,0.0,0.5,2.0,identity,10,1,"[9.504940904676914, 9.620261985808611, 9.727516248822212, 9.5873421728611, 10.214860331267118, 9.982134871184826, 10.194362856447697, 9.130150858312845, 9.616941828280687, 10.202967889606953]",9.778147994726897,0.3421203476811494,9.815261745452881,0.17364331117749293,9.815261745452881,0.17364331117749293,1.0471037864685058,0.006424889287575335,0.0,0.0
19,1,16,16,0.0,55.309558116063876,0.5,0.0,0.5,2.0,identity,10,1,"[10.977493144571781, 11.66155843436718, 11.405465424060822, 11.746213585138321, 11.593028083443642, 11.983723148703575, 11.503803580999374, 11.242574200034142, 11.422919183969498, 11.535585515201092]",11.507236430048943,0.261587728639978,11.543119049072265,0.2062236838859993,11.543119049072265,0.2062236838859993,1.04136004447937,0.010917235929955632,0.0,0.0
20,1,16,17,0.0,67.38038050841725,0.5,0.0,0.5,2.0,identity,10,1,"[12.893836103379726, 13.675497069954872, 12.736508093774319, 13.050423108041286, 13.009396828711033, 13.769717901945114, 13.719361938536167, 13.756717301905155, 14.062918908894062, 14.335953563451767]",13.501033081859351,0.5124862145390041,13.590717983245849,0.2726221529977593,13.590717983245849,0.2726221529977593,1.0340177059173583,0.007250375535064363,0.0,0.0
21,1,16,18,0.0,82.08555324076049,0.5,0.0,0.5,2.0,identity,10,1,"[16.43414955586195, 16.026885002851486, 16.80181021988392, 16.086750127375126, 16.319989673793316, 16.044773004949093, 15.702168434858322, 16.632022604346275, 15.557792373001575, 16.05580275505781]",16.16621437519789,0.3680458433500703,16.30963478088379,0.2613526453650377,16.30963478088379,0.2613526453650377,1.0333683729171752,0.0035420360592196645,0.0,0.0
22,1,16,19,0.0,100.0,0.5,0.0,0.5,2.0,identity,10,1,"[19.762814953923225, 19.584399677813053, 19.623458452522755, 18.584002315998077, 18.825107231736183, 19.9470916390419, 19.01450874656439, 17.967089354991913, 18.912199556827545, 19.527722589671612]",19.174839451909065,0.5882483166094263,19.264778900146485,0.30171688761249693,19.264778900146485,0.30171688761249693,1.0261109709739684,0.00592180095749072,0.0,0.0
23,1,16,20,0.1111111111111111,2.35,0.5,0.0,0.5,2.0,identity,10,1,"[2.502513077110052, 2.525634840130806, 2.5332642942667007, 2.488754346035421, 2.4707978684455156, 2.5003633024170995, 2.4991862196475267, 2.5128005407750607, 2.4092145757749677, 2.574389286339283]",2.501691835094243,0.04081787263410392,2.489152361131503,0.0264351100211928,2.506169819831848,0.026828126672572523,1.4503987193107606,0.011459844891542592,-0.003983247582800687,0.0005752583358158019
24,1,16,21,0.1111111111111111,2.8628667374724848,0.5,0.0,0.5,2.0,identity,10,1,"[2.5711201429367065, 2.6376148872077465, 2.534212462604046, 2.6311633847653866, 2.465948379598558, 2.4684183076024055, 2.596686342731118, 2.4830944389104843, 2.486054197885096, 2.4448335357010365]",2.5319146079942585,0.06871217008057617,2.5508583783511254,0.03242415084650973,2.5697587728500366,0.032856547687448244,1.3973747491836548,0.011265552532036562,-0.004426517663523555,0.0007759214144507956
25,1,16,22,0.1111111111111111,3.4876621091601483,0.5,0.0,0.5,2.0,identity,10,1,"[2.594527509994805, 2.5923374388366938, 2.475410493090749, 2.5234072459861636, 2.5431534349918365, 2.650229960680008, 2.659220742061734, 2.719772083684802, 2.7032077331095934, 2.5707580149173737]",2.603202465735376,0.07515920396782286,2.590796135491864,0.02649871637907779,2.610993432998657,0.02708006110144066,1.3366525769233704,0.014850568673990578,-0.004464694345369935,0.0007701952241173289
26,1,16,23,0.1111111111111111,4.248813550577753,0.5,0.0,0.5,2.0,identity,10,1,"[2.7724007796496153, 2.741981728002429, 2.729744518175721, 2.69317989051342, 2.733218051493168, 2.7652354650199413, 2.7590669374912977, 2.767513396218419, 2.7071563582867384, 2.585785240866244]",2.7255282365716993,0.05284029834612716,2.7210986224296327,0.031084232053823456,2.744911956787109,0.03138403966461983,1.294661033153534,0.013215118133082416,-0.005909001966938376,0.0008199572905250302
