2026-02-18 17:38:45,402 | __main__ | INFO | Experiment starting: beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 17:38:54,954 | __main__ | INFO |    beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5, run: 0/20, run_mse: 0.45523825782044136
2026-02-18 17:38:54,955 | __main__ | INFO | Experiment starting: beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 17:39:04,549 | __main__ | INFO |    beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5, run: 1/20, run_mse: 0.4643041789897431
2026-02-18 17:39:04,550 | __main__ | INFO | Experiment starting: beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 17:39:13,992 | __main__ | INFO |    beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5, run: 2/20, run_mse: 0.4535623444133012
2026-02-18 17:39:13,992 | __main__ | INFO | Experiment starting: beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 17:39:23,607 | __main__ | INFO |    beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5, run: 3/20, run_mse: 0.4487285060921784
2026-02-18 17:39:23,607 | __main__ | INFO | Experiment starting: beta=1.0, alpha=2.35, ell=235, d=100, rho=0.5
