2026-02-18 22:04:00,907 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:12,843 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 0/10, run_mse: 0.45122564106947116, e_icl_trace: 1.5290312750293744
2026-02-18 22:04:12,845 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:12,903 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 1/10, run_mse: 0.46216695728403323, e_icl_trace: 1.5452467930669358
2026-02-18 22:04:12,903 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:12,963 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 2/10, run_mse: 0.49191668221427265, e_icl_trace: 1.5423807681344608
2026-02-18 22:04:12,964 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:13,021 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 3/10, run_mse: 0.4600027646281321, e_icl_trace: 1.5369620416111516
2026-02-18 22:04:13,021 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:13,078 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 4/10, run_mse: 0.481518800894865, e_icl_trace: 1.5322634138069477
2026-02-18 22:04:13,078 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:13,135 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 5/10, run_mse: 0.460951187965412, e_icl_trace: 1.5506310817189068
2026-02-18 22:04:13,135 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:13,192 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 6/10, run_mse: 0.46284436198143014, e_icl_trace: 1.5311884669578264
2026-02-18 22:04:13,193 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:13,250 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 7/10, run_mse: 0.48060385010250306, e_icl_trace: 1.5358615386439924
2026-02-18 22:04:13,250 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:13,307 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 8/10, run_mse: 0.49572928007459793, e_icl_trace: 1.5457824945823357
2026-02-18 22:04:13,307 | __main__ | INFO | Experiment starting: beta=0, alpha=2.35, ell=235, d=100, rho=0.5
2026-02-18 22:04:13,364 | __main__ | INFO |    beta=0, alpha=2.35, ell=235, d=100, rho=0.5, run: 9/10, run_mse: 0.48099465832579924, e_icl_trace: 1.5352006876827766
2026-02-18 22:04:13,389 | __main__ | INFO | End experiment with alpha: 2.35, beta: 0 | mse_runs: [0.45122564106947116, 0.46216695728403323, 0.49191668221427265, 0.4600027646281321, 0.481518800894865, 0.460951187965412, 0.46284436198143014, 0.48060385010250306, 0.49572928007459793, 0.48099465832579924], mean_mse: 0.47279541845405165, std_mse: 0.01441201607365214
2026-02-18 22:04:13,401 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 22:04:13,459 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 0/10, run_mse: 0.3283841149758965, e_icl_trace: 1.5462428476837438
2026-02-18 22:04:13,459 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 22:04:13,516 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 1/10, run_mse: 0.3228152939586338, e_icl_trace: 1.5592251287020336
2026-02-18 22:04:13,516 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 22:04:13,574 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 2/10, run_mse: 0.32826385458110013, e_icl_trace: 1.5753951638345687
2026-02-18 22:04:13,574 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 22:04:13,631 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 3/10, run_mse: 0.32746930995248547, e_icl_trace: 1.5515373378679929
2026-02-18 22:04:13,631 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 22:04:13,688 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 4/10, run_mse: 0.33013716538461885, e_icl_trace: 1.5708550951360762
2026-02-18 22:04:13,688 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 22:04:13,745 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 5/10, run_mse: 0.3129958216380817, e_icl_trace: 1.5563605212260885
2026-02-18 22:04:13,746 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
2026-02-18 22:04:13,803 | __main__ | INFO |    beta=0, alpha=5.5, ell=550, d=100, rho=0.5, run: 6/10, run_mse: 0.3362732248900943, e_icl_trace: 1.5607127000122243
2026-02-18 22:04:13,803 | __main__ | INFO | Experiment starting: beta=0, alpha=5.5, ell=550, d=100, rho=0.5
